name,image_cover,overlay_color
"Prehistoric & Ancient","https://tse3.mm.bing.net/th/id/OIP.V3qd4qN1W0Lc34O9zTtF5gHaE7?rs=1&pid=ImgDetMain&o=7&rm=3","#5D4037"
"Medieval & Post-Classical","https://wallpaperaccess.com/full/1989089.jpg","#B71C1C"
"Renaissance & Age of Discovery","https://img.theepochtimes.com/assets/uploads/2022/05/27/Da-Gama-leaving-Liston-1200x792.jpg","#FFC107"
"Early Modern (16th–17th c.)","https://history.ceu.edu/sites/history.ceu.hu/files/styles/panopoly_image_original/public/media_browser/em2_3.jpg?itok=h0RJuAP4","#0D47A1"
"Late Modern (18th–19th c.)","https://eageycejthewikfgmnzy.supabase.co/storage/v1/object/public/article/b9acf28d-3ee1-45f3-b7d2-1f9a16eec26d/e20792df-cc84-4af3-a9be-083c1fa69e7b.png","#6A1B9A"
"Regional Dynasties","https://facts.net/wp-content/uploads/2025/03/31-facts-about-dynasties-1742324030.jpg","#2E7D32"
"Pre-Colonial & Imperial","https://www.visitstaugustine.com/sites/default/files/styles/hero_desktop/public/2024-08/BlackHistory-TopicPage-PreColonial-25x15-WEB.jpg?itok=zSaGYj3L","#E64A19"
"Miscellaneous","https://i.pinimg.com/originals/40/9e/5f/409e5fd19eb16e90af8f85a4b9010c9b.jpg","#455A64"
